ID;sentence;control
335;... about as exciting to watch as two last-place basketball teams playing one another on the final day of the season.;


336;Girls gone wild and gone civil again;


337;To say Analyze That is De Niro's best film since Meet the Parents sums up the sad state of his recent career.;


338;Like being trapped inside a huge video game, where exciting, inane images keep popping past your head and the same illogical things keep happening over and over again.;


339;`Enigma' is the kind of engaging historical drama that Hollywood appears to have given up on in favor of sentimental war movies in the vein of `We Were Soldiers.';


340;The Rock has a great presence but one battle after another is not the same as one battle followed by killer CGI effects.;


341;Visually sumptuous but intellectually stultifying.;


342;So young, so smart, such talent, such a wise ***.;


343;The problem is that for the most part, the film is deadly dull.;


344;A thinly veiled look at different aspects of Chinese life clashing with each other.;


345;An exhilarating experience.;


346;Its vision of that awkward age when sex threatens to overwhelm everything else is acute enough to make everyone who has been there squirm with recognition.;


347;Remarkably accessible and affecting.;


348;The climactic events are so well realized that you may forget all about the original conflict, just like the movie does.;


349;Distinctly sub-par... more likely to drown a viewer in boredom than to send any shivers down his spine.;


350;Godard's ode to tackling life's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess... In Praise of Love remains a ponderous and pretentious endeavor that's unfocused and tediously exasperating.;


351;"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace; still, Myer's energy and the silliness of it all eventually prevail.";


352;We never truly come to care about the main characters and whether or not they'll wind up together, and Michele's spiritual quest is neither amusing nor dramatic enough to sustain interest.;


353;Most haunting about ``Fence'' is its conclusion, when we hear the ultimate fate of these girls and realize, much to our dismay, that this really did happen.;


354;Bogdanovich taps deep into the Hearst mystique, entertainingly reenacting a historic scandal.;


355;Peralta's mythmaking could have used some informed, adult hindsight.;


356;``My god, I'm behaving like an idiot!'';


357;Devos and Cassel have tremendous chemistry -- their sexual and romantic tension, while never really vocalized, is palpable.;


358;As a girl-meets-girl romantic comedy, Kissing Jessica Steinis quirky, charming and often hilarious.;


359;Gollum's `performance' is incredible!;


360;... a haunting vision, with images that seem more like disturbing hallucinations.;


361;As a remake, it's a pale imitation.;


362;Adults will certainly want to spend their time in the theater thinking up grocery lists and ways to tell their kids how not to act like Pinocchio.;


363;Not as distinctive or even as humorous as its needs to be to stand out, but it has clearly been made with affection and care.;


364;A generic family comedy unlikely to be appreciated by anyone outside the under-10 set.;


365;An amalgam of The Fugitive, Blade Runner, and Total Recall, only without much energy or tension.;


366;Everything its title implies, a standard-issue crime drama spat out from the Tinseltown assembly line.;


367;This odd, poetic road movie, spiked by jolts of pop music, pretty much takes place in Morton's ever-watchful gaze -- and it's a tribute to the actress, and to her inventive director, that the journey is such a mesmerizing one.;


368;Co-writer/director Jonathan Parker's attempts to fashion a Brazil-like, hyper-real satire fall dreadfully short.;


369;An amateurish, quasi-improvised acting exercise shot on ugly digital video.;CONTROL


370;``The Kid Stays in the Picture'' is a great story, terrifically told by the man who wrote it but this Cliff Notes edition is a cheat.;


371;A gratingly unfunny groaner littered with zero-dimensional, unlikable characters and hackneyed, threadbare comic setups.;


372;While this gentle and affecting melodrama will have luvvies in raptures, it's far too slight and introspective to appeal to anything wider than a niche audience.;


373;Griffin & Co. manage to be spectacularly outrageous.;


374;A profoundly stupid affair, populating its hackneyed and meanspirited storyline with cardboard characters and performers who value cash above credibility.;


375;Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women, water, nature, and sexuality.;


376;It isn't that Stealing Harvard is a horrible movie -- if only it were that grand a failure!;


377;It just doesn't have much else... especially in a moral sense.;


378;Those unfamiliar with Mormon traditions may find The Singles Ward occasionally bewildering.;


379;Viewed as a comedy, a romance, a fairy tale, or a drama, there's nothing remotely triumphant about this motion picture.;


380;But the talented cast alone will keep you watching, as will the fight scenes.;CONTROL


381;It's solid and affecting and exactly as thought-provoking as it should be.;CONTROL


382;Thanks largely to Williams, all the interesting developments are processed in 60 minutes -- the rest is just an overexposed waste of film.;


383;Cantet perfectly captures the hotel lobbies, two-lane highways, and roadside cafes that permeate Vincent's days;


384;An important movie, a reminder of the power of film to move us and to make us examine our values.;


385;Too much of this well-acted but dangerously slow thriller feels like a preamble to a bigger, more complicated story, one that never materializes.;


386;A richly imagined and admirably mature work from a gifted director who definitely has something on his mind.;


387;The art direction is often exquisite, and the anthropomorphic animal characters are beautifully realized through clever makeup design, leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack.;


388;... Jones, despite a definitely distinctive screen presence, just isn't able to muster for a movie that, its title notwithstanding, should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts.;


389;But what's nice is that there's a casual intelligence that permeates the script.;CONTROL


390;Wedding feels a bit anachronistic.;


391;An action/thriller of the finest kind, evoking memories of Day of the Jackal, The French Connection, and Heat.;


392;This picture is murder by numbers, and as easy to be bored by as your ABC's, despite a few whopping shootouts.;


393;Every individual will see the movie through the prism of his or her own beliefs and prejudices, but the one thing most will take away is the sense that peace is possible.;


394;Feels slight, as if it were an extended short, albeit one made by the smartest kids in class.;


395;The picture doesn't know it's a comedy.;


396;A classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done.;


397;Starts out mediocre, spirals downward, and thuds to the bottom of the pool with an utterly incompetent conclusion.;CONTROL


398;The sort of movie that gives tastelessness a bad rap.;


399;Its engaging simplicity is driven by appealing leads.;


400;Fans of the TV series will be disappointed, and everyone else will be slightly bored.;CONTROL


401;It's a head-turner -- thoughtfully written, beautifully read and, finally, deeply humanizing.;CONTROL


402;"Bray is completely at sea; with nothing but a Savage Garden music video on his resume, he has no clue about making a movie.";


403;It's not a particularly good film, but neither is it a monsterous one.;CONTROL


404;Men in Black II achieves ultimate insignificance -- it's the sci-fi comedy spectacle as Whiffle-Ball epic.;


405;Martyr gets royally screwed and comes back for more.;


406;While it's nice to watch a movie that hasn't been focus-grouped into tedium, Yu's cinematic alchemy produces nearly as much lead as gold.;


407;``The Adventures of Pluto Nash'' is a big time stinker.;


408;Ultimately, Jane learns her place as a girl, softens up and loses some of the intensity that made her an interesting character to begin with.;


409;Helps to remind the First World that HIV/AIDS is far from being yesterday's news.;


410;If you don't flee, you might be seduced.;


411;Engages us in constant fits of laughter, until we find ourselves surprised at how much we care about the story, and end up walking out not only satisfied but also somewhat touched.;


412;Wraps itself in the guise of a dark and quirky comedy, but it isn't as quirky as it thinks it is and its comedy is generally mean-spirited.;


413;It's clear that Mehta simply wanted to update her beloved genre for the thousands of Indians who fancy themselves too sophisticated for the cheese-laced spectacles that pack'em in on the subcontinent.;


414;Paxton's uneven directorial debut fails to unlock the full potential of what is in many ways a fresh and dramatically substantial spin on the genre.;


415;It's just rather leaden and dull.;


416;Veterans of the dating wars will smirk uneasily at the film's nightmare versions of everyday sex-in-the-city misadventures.;


417;The characters are never more than sketches... which leaves any true emotional connection or identification frustratingly out of reach.;CONTROL


418;Jones has tackled a meaty subject and drawn engaging characters while peppering the pages with memorable zingers.;


419;If you can get past the taboo subject matter, it will be well worth your time.;


420;The film's performances are thrilling.;


421;It's always enthralling.;


422;A fascinating and fun film.;


423;My Big Fat Greek Wedding is not only the best date movie of the year, it's also a -- dare I say it twice -- delightfully charming -- and totally American, I might add -- slice of comedic bliss.;


424;Not only are the special effects and narrative flow much improved, and Daniel Radcliffe more emotionally assertive this time around as Harry, but the film conjures the magic of author J.K. Rowling's books.;


425;Denzel Washington's efforts are sunk by all the sanctimony.;


426;Ringu is a disaster of a story, full of holes and completely lacking in chills.;


427;A witty, trenchant, wildly unsentimental but flawed look at the ins and outs of modern moviemaking.;


428;The movie is essentially a series of fleetingly interesting actors' moments.;


429;If I could have looked into my future and saw how bad this movie was, I would go back and choose to skip it.;


430;A powerful, chilling, and affecting study of one man's dying fall.;


431;It is a testament of quiet endurance, of common concern, of reconciled survival.;


432;A breezy, diverting, conventional, well-acted tale of two men locked in an ongoing game of cat-and-cat.;


433;Meeting, even exceeding expectations, it's the best sequel since The Empire Strikes Back... a majestic achievement, an epic of astonishing grandeur and surprising emotional depth.;


434;There's something not entirely convincing about The Quiet American.;


435;The impulses that produced this project... are commendable, but the results are uneven.;


436;A low-budget affair, Tadpole was shot on digital video, and the images often look smeary and blurry, to the point of distraction.;


437;Despite its title, Amy's Orgasm is not a porno, though it is as tedious as one.;


438;A cheap scam put together by some cynical creeps at Revolution Studios and Imagine Entertainment to make the suckers out there surrender $ 9 and 93 minutes of unrecoverable life.;


439;Disney has always been hit-or-miss when bringing beloved kids' books to the screen... Tuck Everlasting is a little of both.;


440;"Shadyac shoots his film like an M. Night Shyamalan movie, and he frequently maintains the same snail's pace; he just forgot to add any genuine tension.";


441;Aggravating and tedious.;


442;So verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-TV movie.;


443;"But this is not a movie about an inhuman monster; it's about a very human one.";


444;I still want my money back.;CONTROL


445;I guess it just goes to show that if you give a filmmaker an unlimited amount of phony blood, nothing good can happen.;


446;Must-see viewing for anyone involved in the high-tech industry.;


447;An inventive, absorbing movie that's as hard to classify as it is hard to resist.;


448;Last Dance, whatever its flaws, fulfills one facet of its mission in making me want to find out whether, in this case, that's true.;


449;Features nonsensical and laughable plotting, wooden performances, ineptly directed action sequences and some of the worst dialogue in recent memory.;


450;It tends to remind one of a really solid Woody Allen film, with its excellent use of New York locales and sharp writing.;


451;The angst-ridden, affluent slacker characters are more grating than engaging.;


452;I'll put it this way: If you're in the mood for a melodrama narrated by talking fish, this is the movie for you.;


453;Bittersweet comedy/drama full of life, hand gestures, and some really adorable Italian guys.;


454;Disturbingly superficial in its approach to the material.;


455;There ought to be a directing license, so that Ed Burns can have his revoked.;


456;Is there enough material to merit a documentary on the making of Wilco's last album?;


457;Has its moments, but it's pretty far from a treasure.;


458;Journalistically dubious, inept and often lethally dull.;


459;It's a fairy tale that comes from a renowned Indian film culture that allows Americans to finally revel in its splendor.;CONTROL


460;Like all great films about a life you never knew existed, it offers much to absorb and even more to think about after the final frame.;


461;The movie is about as humorous as watching your favorite pet get buried alive.;


462;It's got some pretentious eye-rolling moments and it didn't entirely grab me, but there's stuff here to like.;


463;Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing.;


464;A depraved, incoherent, instantly disposable piece of hackery.;CONTROL


465;Did it move me to care about what happened in 1915 Armenia?;


466;Wins my vote for `The 2002 Enemy of Cinema' Award.;


467;It's that rare family movie -- genuine and sweet without relying on animation or dumb humor.;CONTROL


468;No one involved, save Dash, shows the slightest aptitude for acting, and the script, credited to director Abdul Malik Abbott and Ernest `Tron' Anderson, seems entirely improvised.;


469;They do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film.;


470;Since the movie is based on a Nicholas Sparks best seller, you know death is lurking around the corner, just waiting to spoil things.;


471;The film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity.;CONTROL


472;The makers have forsaken the entertaining elements of the original and, instead, rehash old jokes and leave any life at the doorstep.;


473;The film is a blunt indictment, part of a perhaps surreal campaign to bring Kissinger to trial for crimes against humanity.;


474;With miscast leads, banal dialogue and an absurdly overblown climax, Killing Me Softly belongs firmly in the so-bad-it's - good camp.;


475;Real Women Have Curves doesn't offer any easy answers.;


476;With its jerky hand-held camera and documentary feel, Bloody Sunday is a sobering recount of a very bleak day in Derry.;


477;Once the expectation of laughter has been quashed by whatever obscenity is at hand, even the funniest idea isn't funny.;


478;Julia is played with exasperating blandness by Laura Regan.;CONTROL


479;Proves that some movie formulas don't need messing with -- like the big-bug movie.;


480;A delectable and intriguing thriller filled with surprises, Read My Lips is an original.;


481;Especially give credit to Affleck.;


482;Like Mike isn't interested in recycling old cliches.;


483;The sequel has turned completely and irrevocably bizarre to the point of utter nonsense.;CONTROL


484;There is one surefire way to get a nomination for a best-foreign-film Oscar: Make a movie about whimsical folk who learn a nonchallenging, life-affirming lesson while walking around a foreign city with stunning architecture.;


485;Laughably, irredeemably awful.;


486;Writer-director David Jacobson and his star, Jeremy Renner, have made a remarkable film that explores the monster's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted.;


487;I wish Windtalkers had had more faith in the dramatic potential of this true story.;


488;Dragonfly has no atmosphere, no tension -- nothing but Costner, flailing away.;CONTROL


489;Between the drama of Cube?;


490;An immensely entertaining look at some of the unsung heroes of 20th century pop music.;CONTROL


491;I'm giving it thumbs down due to the endlessly repetitive scenes of embarrassment.;


492;... has about 3/4th the fun of its spry 2001 predecessor -- but it's a rushed, slapdash, sequel-for-the-sake-of-a-sequel with less than half the plot and ingenuity.;


493;Sometimes smart but more often sophomoric.;


494;Leigh's film is full of memorable performances from top to bottom.;CONTROL


495;But it is set in a world that is very, very far from the one most of us inhabit.;


496;Possession is in the end an honorable, interesting failure.;


497;A new film from Bill Plympton, the animation master, is always welcome.;


498;It uses the pain and violence of war as background material for color.;


499;Being latently gay and liking to read are hardly enough.;


500;The only thing that distinguishes a Randall Wallace film from any other is the fact that there is nothing distinguishing in a Randall Wallace film.;


501;It inspires a continuing and deeply satisfying awareness of the best movies as monumental `picture shows.';


502;A sun-drenched masterpiece, part parlor game, part psychological case study, part droll social satire.;CONTROL


503;When the precise nature of Matthew's predicament finally comes into sharp focus, the revelation fails to justify the build-up.;


504;You know that ten bucks you'd spend on a ticket?;


505;What really makes it special is that it pulls us into its world, gives us a hero whose suffering and triumphs we can share, surrounds him with interesting characters and sends us out of the theater feeling we've shared a great adventure.;


506;Light-years ahead of paint-by-number American blockbusters like Pearl Harbor, at least artistically.;


507;The film delivers not just the full assault of Reno's immense wit and insight, but a time travel back to what it felt like during those unforgettably uncertain days.;


508;These people wouldn't know subtle characterization if it put on a giant furry monster costume and then gave them a lapdance.;


509;It's not without its pleasures, but I'll stick with The Tune.;


510;Despite terrific special effects and funnier gags, Harry Potter and the Chamber of Secrets finds a way to make J.K. Rowling's marvelous series into a deadly bore.;CONTROL


511;Like the Chelsea's denizens... Burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste.;


512;Is truth stranger than fiction?;


513;Do we really need a 77-minute film to tell us exactly why a romantic relationship between a 15-year-old boy and a 40-year-old woman doesn't work?;CONTROL


514;Thoughtful, provocative and entertaining.;


515;"It's dark but has wonderfully funny moments; you care about the characters; and the action and special effects are first-rate.";


516;Auto Focus is not your standard Hollywood bio-pic.;


517;As Hugh Grant says repeatedly throughout the movie, `Lovely!;CONTROL


518;It is dark, brooding and slow, and takes its central idea way too seriously.;


519;Watching these two actors play against each other so intensely, but with restraint, is a treat.;


520;Anyone else seen this before?;


521;All very stylish and beautifully photographed, but far more trouble than it's worth, with fantasy mixing with reality and actors playing more than one role just to add to the confusion.;


522;Like a bad improvisation exercise, the superficially written characters ramble on tediously about their lives, loves and the art they're struggling to create.;


523;The leads are so unmemorable, despite several attempts at lengthy dialogue scenes, that one eventually resents having to inhale this gutter romancer's secondhand material.;


524;Madonna still can't act a lick.;


525;Kung Pow seems like some futile concoction that was developed hastily after Oedekerk and his fellow moviemakers got through crashing a college keg party.;


526;And it's harder still to believe that anyone in his right mind would want to see the it.;


527;A so-so, made-for-TV something posing as a real movie.;


528;No worse than a lot of the crap we've been offered this summer, and slightly better than Men in Black 2 as far as slapdash extraterrestrial comedies go.;


529;Only at the prospect of Beck's next project.;


530;A modestly comic, modestly action-oriented World War II adventure that, in terms of authenticity, is one of those films that requires the enemy to never shoot straight.;


531;It's a 100-year old mystery that is constantly being interrupted by Elizabeth Hurley in a bathing suit.;


532;... best seen as speculative history, as much an exploration of the paranoid impulse as a creative sequel to the Warren Report.;


533;A fifty car pileup of cliches.;


534;One of the most significant moviegoing pleasures of the year.;CONTROL


535;The film's trailer also looked like crap, so crap is what I was expecting.;


536;At a time when half the so-called real movies are little more than live-action cartoons, it's refreshing to see a cartoon that knows what it is, and knows the form's history.;


537;It's Quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer.;


538;A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques.;


539;John McTiernan's botched remake may be subtler than Norman Jewison's 1975 ultraviolent futuristic corporate-sports saga.;


540;This disturbing bio-pic is hard to forget.;


541;Sympathetically captures the often futile lifestyle of young people in modern Japan.;CONTROL


542;You don't have to be an especially tough grader to give a charitable B-minus to The Emperor's Club.;


543;Bartlett's hero remains a reactive cipher, when opening the man's head and heart is the only imaginable reason for the film to be made.;


544;It's as sorry a mess as its director's diabolical debut, Mad Cows.;


545;The writing is clever and the cast is appealing.;CONTROL


546;"Director Charles Stone III applies more detail to the film's music than to the story line; what's best about Drumline is its energy.";


547;You'd think by now America would have had enough of plucky British eccentrics with hearts of gold.;


548;... as the story congeals you feel the pieces of the Star Wars saga falling into place in a way that makes your spine tingle with revelation and excitement.;


549;... a visually seductive, unrepentantly trashy take on Rice's second installment of her Vampire Chronicles.;


550;Canadian filmmaker Gary Burns' inventive and mordantly humorous take on the soullessness of work in the city.;CONTROL


551;A fascinating, bombshell documentary that should shame Americans, regardless of whether or not ultimate blame finally lies with Kissinger.;


552;A very charming and funny movie.;


553;Yakusho, as always, is wonderful as the long-faced sad sack... and his chemistry with Shimizu is very believable.;


554;It's basically an overlong episode of Tales from the Crypt.;


555;The result is something quite fresh and delightful.;CONTROL


556;The result is more depressing than liberating, but it's never boring.;


557;Wouldn't one about their famous dad, author of Death in Venice, etc., be more valuable?;


558;There ain't a lot more painful than an unfunny movie that thinks it's hilarious.;


559;Stevens has a flair for dialogue comedy, the film operates nicely off the element of surprise, and the large cast is solid.;


560;A sober and affecting chronicle of the leveling effect of loss.;


561;Taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes.;CONTROL


562;Chicago is, in many ways, an admirable achievement.;


563;Another boorish movie from the I-heard-a-joke - at-a-frat-party school of screenwriting.;


564;What begins as a seemingly brainless, bubbly romantic comedy becomes a cliche-drenched melodrama by mid-film and, by film's end, a feminist action fantasy.;


565;Fubar is very funny, but not always in a laugh-out-loud way.;


566;Compelling as it is exotic, Fast Runner has a plot that rivals Shakespeare for intrigue, treachery and murder.;


567;Kurys never shows why, of all the period's volatile romantic lives, Sand and Musset are worth particular attention.;


568;Eastwood winces, clutches his chest and gasps for breath.;


569;Those of you who are not an eighth grade girl will most likely doze off during this one.;CONTROL


570;The people in Dogtown and Z-Boys are so funny, aggressive and alive, you have to watch them because you can't wait to see what they do next.;


571;The Marquis de Sade couldn't have been as dull a person as this film makes him out to be.;


572;Unintelligible, poorly acted, brain-slappingly bad, Harvard Man is ludicrous enough that it could become a cult classic.;


573;In a summer of clones, Harvard Man is something rare and riveting: a wild ride that relies on more than special effects.;


574;You'll get the enjoyable basic minimum.;CONTROL


575;A dreadful live-action movie.;CONTROL


576;The plot plummets into a comedy graveyard before Janice comes racing to the rescue in the final reel.;


577;It is a happy, heady jumble of thought and storytelling, an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film.;


578;Compassionately explores the seemingly irreconcilable situation between conservative Christian parents and their estranged gay and lesbian children.;


579;Like a skillful fisher, the director uses the last act to reel in the audience since its poignancy hooks us completely.;


580;... passable enough for a shoot-out in the o.k. court house of life type of flick.;


581;"Despite Hoffman's best efforts, Wilson remains a silent, lumpish cipher; his encounters reveal nothing about who he is or who he was before.";


582;A cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall.;


583;Even if you're an Elvis person, you won't find anything to get excited about on this DVD.;CONTROL


584;Scotland, PA. blurs the line between black comedy and black hole.;


585;First and foremost... the reason to go see ``Blue Crush'' is the phenomenal, water-born cinematography by David Hennings.;


586;A little objectivity could have gone a long way.;


587;Cuts right through the B.S. giving a big middle-fingered ``shut up'' to those who talk up what is nothing more than two guys beating the hell outta one another.;


588;Its use of the thriller form to examine the labyrinthine ways in which people's lives cross and change, buffeted by events seemingly out of their control, is intriguing, provocative stuff.;


589;We can't accuse Kung Pow for misfiring, since it is exactly what it wants to be: an atrociously, mind-numbingly, indescribably bad movie.;


590;Reno does what he can in a thankless situation, the film ricochets from humor to violence and back again, and Ryoko Hirosue makes us wonder if she is always like that.;


591;One of the greatest family-oriented, fantasy-adventure movies ever.;CONTROL


592;Poor editing, bad bluescreen, and ultra-cheesy dialogue highlight the radical action.;


593;With Freeman and Judd, I'll at least remember their characters.;


594;An amazing and incendiary movie that dives straight into the rough waters of contradiction.;


595;Everything else about High Crimes is, like the military system of justice it portrays, tiresomely regimented.;


596;A very well-made, funny and entertaining picture.;CONTROL


597;The power of this script, and the performances that come with it, is that the whole damned thing didn't get our moral hackles up.;


598;unpretentious, charming, quirky, original;CONTROL


599;What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice.;


600;This one's weaker than most.;CONTROL



